"county","estimated_population","dt_admin","total_partial_vaccinated","cumulative_fully_vaccinated","cumulative_at_least_one_dose","cumulative_unvaccinated","suppress_data","cumulative_up_to_date_vax","race_eth","age_category","sex","quarter"
"KingsCounty",16867,2023-03-31,1422,12832,14254,2613,FALSE,3786,"NA","65+",NA,2023.1
"KingsCounty",16867,2023-06-30,1435,12832,14267,2600,FALSE,4095,"NA","65+",NA,2023.2
"KingsCounty",16867,2023-08-26,1440,12832,14272,2595,FALSE,4227,"NA","65+",NA,2023.3
"KingsCounty",17305,2022-03-31,683,6096,6782,10523,FALSE,1,"NA","0-17",NA,2022.1
"KingsCounty",17305,2022-06-30,676,6210,6889,10416,FALSE,2,"NA","0-17",NA,2022.2
"KingsCounty",17305,2022-09-30,691,6286,6980,10325,FALSE,46,"NA","0-17",NA,2022.3
"KingsCounty",17305,2022-12-31,711,6311,7025,10280,FALSE,317,"NA","0-17",NA,2022.4
"KingsCounty",17305,2023-03-31,720,6323,7046,10259,FALSE,377,"NA","0-17",NA,2023.1
"KingsCounty",17305,2023-06-30,735,6327,7065,10240,FALSE,429,"NA","0-17",NA,2023.2
"KingsCounty",17305,2023-08-26,741,6327,7071,10234,FALSE,451,"NA","0-17",NA,2023.3
"KingsCounty",18216,2022-03-31,446,2330,2777,15439,FALSE,1,"NA","0-17",NA,2022.1
"KingsCounty",18216,2022-06-30,434,2519,2954,15262,FALSE,1,"NA","0-17",NA,2022.2
"KingsCounty",18216,2022-09-30,445,2693,3139,15077,FALSE,1,"NA","0-17",NA,2022.3
"KingsCounty",18216,2022-12-31,458,2753,3212,15004,FALSE,142,"NA","0-17",NA,2022.4
"KingsCounty",18216,2023-03-31,460,2774,3235,14981,FALSE,175,"NA","0-17",NA,2023.1
"KingsCounty",18216,2023-06-30,470,2774,3245,14971,FALSE,198,"NA","0-17",NA,2023.2
"KingsCounty",18216,2023-08-26,475,2774,3250,14966,FALSE,217,"NA","0-17",NA,2023.3
"KingsCounty",19502,2022-03-31,1545,14748,16293,3209,FALSE,0,"NA","50-64",NA,2022.1
"KingsCounty",19502,2022-06-30,1527,14907,16434,3068,FALSE,0,"NA","50-64",NA,2022.2
"KingsCounty",19502,2022-09-30,1565,14994,16559,2943,FALSE,419,"NA","50-64",NA,2022.3
"KingsCounty",19502,2022-12-31,1670,15015,16685,2817,FALSE,2323,"NA","50-64",NA,2022.4
"KingsCounty",19502,2023-03-31,1694,15025,16719,2783,FALSE,2701,"NA","50-64",NA,2023.1
"KingsCounty",19502,2023-06-30,1716,15026,16742,2760,FALSE,2856,"NA","50-64",NA,2023.2
"KingsCounty",19502,2023-08-26,1727,15026,16753,2749,FALSE,2931,"NA","50-64",NA,2023.3
"KingsCounty",71634,2022-03-31,4627,33061,37690,33944,FALSE,1,"NA","18-49",NA,2022.1
"KingsCounty",71634,2022-06-30,4718,33618,38338,33296,FALSE,1,"NA","18-49",NA,2022.2
"KingsCounty",71634,2022-09-30,4890,34008,38900,32734,FALSE,455,"NA","18-49",NA,2022.3
"KingsCounty",71634,2022-12-31,5126,34151,39279,32355,FALSE,2397,"NA","18-49",NA,2022.4
"KingsCounty",71634,2023-03-31,5173,34247,39422,32212,FALSE,2933,"NA","18-49",NA,2023.1
"KingsCounty",71634,2023-06-30,5248,34258,39508,32126,FALSE,3189,"NA","18-49",NA,2023.2
"KingsCounty",71634,2023-08-26,5285,34259,39546,32088,FALSE,3330,"NA","18-49",NA,2023.3
"LakeCounty",3650,2022-03-31,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.1
"LakeCounty",3650,2022-06-30,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.2
"LakeCounty",3650,2022-09-30,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.3
"LakeCounty",3650,2022-12-31,NA,NA,NA,NA,TRUE,2,"NA","0-17",NA,2022.4
"LakeCounty",3650,2023-03-31,NA,NA,NA,NA,TRUE,4,"NA","0-17",NA,2023.1
"LakeCounty",3650,2023-06-30,NA,NA,NA,NA,TRUE,5,"NA","0-17",NA,2023.2
"LakeCounty",3650,2023-08-26,NA,NA,NA,NA,TRUE,5,"NA","0-17",NA,2023.3
"LakeCounty",4623,2022-03-31,337,1742,2081,2542,FALSE,0,"NA","0-17",NA,2022.1
"LakeCounty",4623,2022-06-30,321,1797,2120,2503,FALSE,0,"NA","0-17",NA,2022.2
"LakeCounty",4623,2022-09-30,325,1816,2143,2480,FALSE,8,"NA","0-17",NA,2022.3
"LakeCounty",4623,2022-12-31,328,1821,2151,2472,FALSE,90,"NA","0-17",NA,2022.4
"LakeCounty",4623,2023-03-31,328,1823,2153,2470,FALSE,109,"NA","0-17",NA,2023.1
"LakeCounty",4623,2023-06-30,332,1823,2157,2466,FALSE,122,"NA","0-17",NA,2023.2
"LakeCounty",4623,2023-08-26,334,1823,2159,2464,FALSE,125,"NA","0-17",NA,2023.3
"LakeCounty",5301,2022-03-31,219,627,846,4455,FALSE,1,"NA","0-17",NA,2022.1
"LakeCounty",5301,2022-06-30,221,720,941,4360,FALSE,1,"NA","0-17",NA,2022.2
"LakeCounty",5301,2022-09-30,232,744,976,4325,FALSE,2,"NA","0-17",NA,2022.3
"LakeCounty",5301,2022-12-31,239,755,994,4307,FALSE,18,"NA","0-17",NA,2022.4
"LakeCounty",5301,2023-03-31,243,761,1004,4297,FALSE,33,"NA","0-17",NA,2023.1
"LakeCounty",5301,2023-06-30,249,762,1011,4290,FALSE,45,"NA","0-17",NA,2023.2
"LakeCounty",5301,2023-08-26,250,764,1014,4287,FALSE,51,"NA","0-17",NA,2023.3
"LakeCounty",12351,2022-03-31,816,9228,10044,2307,FALSE,0,"NA","50-64",NA,2022.1
"LakeCounty",12351,2022-06-30,806,9301,10107,2244,FALSE,0,"NA","50-64",NA,2022.2
"LakeCounty",12351,2022-09-30,825,9331,10156,2195,FALSE,233,"NA","50-64",NA,2022.3
"LakeCounty",12351,2022-12-31,875,9335,10210,2141,FALSE,1442,"NA","50-64",NA,2022.4
"LakeCounty",12351,2023-03-31,891,9339,10230,2121,FALSE,1727,"NA","50-64",NA,2023.1
"LakeCounty",12351,2023-06-30,897,9339,10236,2115,FALSE,1843,"NA","50-64",NA,2023.2
"LakeCounty",12351,2023-08-26,901,9339,10240,2111,FALSE,1886,"NA","50-64",NA,2023.3
"LakeCounty",15114,2022-03-31,809,11401,12210,2904,FALSE,2,"NA","65+",NA,2022.1
"LakeCounty",15114,2022-06-30,826,11506,12332,2782,FALSE,2,"NA","65+",NA,2022.2
"LakeCounty",15114,2022-09-30,873,11537,12410,2704,FALSE,513,"NA","65+",NA,2022.3
"LakeCounty",15114,2022-12-31,991,11541,12532,2582,FALSE,3148,"NA","65+",NA,2022.4
"LakeCounty",15114,2023-03-31,1016,11543,12559,2555,FALSE,3597,"NA","65+",NA,2023.1
"LakeCounty",15114,2023-06-30,1028,11543,12571,2543,FALSE,4064,"NA","65+",NA,2023.2
"LakeCounty",15114,2023-08-26,1033,11543,12576,2538,FALSE,4250,"NA","65+",NA,2023.3
"LakeCounty",23135,2022-03-31,1812,12382,14194,8941,FALSE,1,"NA","18-49",NA,2022.1
"LakeCounty",23135,2022-06-30,1823,12578,14401,8734,FALSE,1,"NA","18-49",NA,2022.2
"LakeCounty",23135,2022-09-30,1859,12657,14516,8619,FALSE,120,"NA","18-49",NA,2022.3
"LakeCounty",23135,2022-12-31,1913,12679,14592,8543,FALSE,809,"NA","18-49",NA,2022.4
"LakeCounty",23135,2023-03-31,1951,12697,14648,8487,FALSE,1071,"NA","18-49",NA,2023.1
"LakeCounty",23135,2023-06-30,1974,12702,14676,8459,FALSE,1259,"NA","18-49",NA,2023.2
"LakeCounty",23135,2023-08-26,1981,12702,14683,8452,FALSE,1301,"NA","18-49",NA,2023.3
"LassenCounty",1555,2022-03-31,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.1
"LassenCounty",1555,2022-06-30,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.2
"LassenCounty",1555,2022-09-30,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.3
"LassenCounty",1555,2022-12-31,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.4
"LassenCounty",1555,2023-03-31,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2023.1
"LassenCounty",1555,2023-06-30,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2023.2
"LassenCounty",1555,2023-08-26,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2023.3
"LassenCounty",1663,2022-03-31,47,265,312,1351,FALSE,0,"NA","0-17",NA,2022.1
"LassenCounty",1663,2022-06-30,51,270,321,1342,FALSE,0,"NA","0-17",NA,2022.2
"LassenCounty",1663,2022-09-30,52,274,326,1337,FALSE,2,"NA","0-17",NA,2022.3
"LassenCounty",1663,2022-12-31,54,275,329,1334,FALSE,19,"NA","0-17",NA,2022.4
"LassenCounty",1663,2023-03-31,54,275,329,1334,FALSE,22,"NA","0-17",NA,2023.1
"LassenCounty",1663,2023-06-30,56,275,331,1332,FALSE,25,"NA","0-17",NA,2023.2
"LassenCounty",1663,2023-08-26,56,275,331,1332,FALSE,25,"NA","0-17",NA,2023.3
"LassenCounty",2031,2022-03-31,NA,NA,NA,NA,TRUE,1,"NA","0-17",NA,2022.1
"LassenCounty",2031,2022-06-30,NA,NA,NA,NA,TRUE,1,"NA","0-17",NA,2022.2
"LassenCounty",2031,2022-09-30,NA,NA,NA,NA,TRUE,1,"NA","0-17",NA,2022.3
"LassenCounty",2031,2022-12-31,NA,NA,NA,NA,TRUE,8,"NA","0-17",NA,2022.4
"LassenCounty",2031,2023-03-31,NA,NA,NA,NA,TRUE,10,"NA","0-17",NA,2023.1
"LassenCounty",2031,2023-06-30,NA,NA,NA,NA,TRUE,13,"NA","0-17",NA,2023.2
"LassenCounty",2031,2023-08-26,NA,NA,NA,NA,TRUE,15,"NA","0-17",NA,2023.3
"LassenCounty",5241,2022-03-31,290,2971,3261,1980,FALSE,1,"NA","65+",NA,2022.1
"LassenCounty",5241,2022-06-30,266,3015,3281,1960,FALSE,1,"NA","65+",NA,2022.2
"LassenCounty",5241,2022-09-30,262,3034,3296,1945,FALSE,212,"NA","65+",NA,2022.3
"LassenCounty",5241,2022-12-31,295,3035,3330,1911,FALSE,828,"NA","65+",NA,2022.4
"LassenCounty",5241,2023-03-31,303,3036,3339,1902,FALSE,904,"NA","65+",NA,2023.1
"LassenCounty",5241,2023-06-30,306,3036,3342,1899,FALSE,982,"NA","65+",NA,2023.2
"LassenCounty",5241,2023-08-26,306,3036,3342,1899,FALSE,1008,"NA","65+",NA,2023.3
"LassenCounty",5382,2022-03-31,213,2259,2472,2910,FALSE,0,"NA","50-64",NA,2022.1
"LassenCounty",5382,2022-06-30,215,2277,2492,2890,FALSE,1,"NA","50-64",NA,2022.2
"LassenCounty",5382,2022-09-30,227,2284,2511,2871,FALSE,79,"NA","50-64",NA,2022.3
"LassenCounty",5382,2022-12-31,244,2292,2536,2846,FALSE,308,"NA","50-64",NA,2022.4
"LassenCounty",5382,2023-03-31,245,2292,2537,2845,FALSE,355,"NA","50-64",NA,2023.1
"LassenCounty",5382,2023-06-30,246,2292,2538,2844,FALSE,377,"NA","50-64",NA,2023.2
"LassenCounty",5382,2023-08-26,246,2292,2538,2844,FALSE,385,"NA","50-64",NA,2023.3
"LassenCounty",14093,2022-03-31,350,3216,3566,10527,FALSE,0,"NA","18-49",NA,2022.1
"LassenCounty",14093,2022-06-30,364,3254,3618,10475,FALSE,2,"NA","18-49",NA,2022.2
"LassenCounty",14093,2022-09-30,364,3284,3648,10445,FALSE,42,"NA","18-49",NA,2022.3
"LassenCounty",14093,2022-12-31,388,3289,3677,10416,FALSE,188,"NA","18-49",NA,2022.4
"LassenCounty",14093,2023-03-31,390,3299,3689,10404,FALSE,223,"NA","18-49",NA,2023.1
"LassenCounty",14093,2023-06-30,395,3300,3695,10398,FALSE,238,"NA","18-49",NA,2023.2
"LassenCounty",14093,2023-08-26,399,3300,3699,10394,FALSE,245,"NA","18-49",NA,2023.3
"Los AngelesCounty",536500,2022-03-31,358,312,694,535806,FALSE,0,"NA","0-17",NA,2022.1
"Los AngelesCounty",536500,2022-06-30,8853,399,9277,527223,FALSE,0,"NA","0-17",NA,2022.2
"Los AngelesCounty",536500,2022-09-30,26550,17292,43870,492630,FALSE,20,"NA","0-17",NA,2022.3
"Los AngelesCounty",536500,2022-12-31,25274,30805,56107,480393,FALSE,1433,"NA","0-17",NA,2022.4
"Los AngelesCounty",536500,2023-03-31,25356,36525,61909,474591,FALSE,8002,"NA","0-17",NA,2023.1
"Los AngelesCounty",536500,2023-06-30,26123,38454,64605,471895,FALSE,11650,"NA","0-17",NA,2023.2
"Los AngelesCounty",536500,2023-08-26,27160,39065,66253,470247,FALSE,13102,"NA","0-17",NA,2023.3
"Los AngelesCounty",772656,2022-03-31,58766,553559,612556,160100,FALSE,84,"NA","0-17",NA,2022.1
"Los AngelesCounty",772656,2022-06-30,58691,561214,620137,152519,FALSE,118,"NA","0-17",NA,2022.2
"Los AngelesCounty",772656,2022-09-30,59265,566714,626214,146442,FALSE,9848,"NA","0-17",NA,2022.3
"Los AngelesCounty",772656,2022-12-31,60671,567955,628863,143793,FALSE,60623,"NA","0-17",NA,2022.4
"Los AngelesCounty",772656,2023-03-31,61367,568744,630352,142304,FALSE,75026,"NA","0-17",NA,2023.1
"Los AngelesCounty",772656,2023-06-30,62244,568883,631368,141288,FALSE,81607,"NA","0-17",NA,2023.2
"Los AngelesCounty",772656,2023-08-26,62861,568892,631994,140662,FALSE,85446,"NA","0-17",NA,2023.3
"Los AngelesCounty",865272,2022-03-31,44472,268829,313334,551938,FALSE,36,"NA","0-17",NA,2022.1
"Los AngelesCounty",865272,2022-06-30,44492,290647,335174,530098,FALSE,56,"NA","0-17",NA,2022.2
"Los AngelesCounty",865272,2022-09-30,46259,308081,354379,510893,FALSE,129,"NA","0-17",NA,2022.3
"Los AngelesCounty",865272,2022-12-31,47513,312896,360448,504824,FALSE,39127,"NA","0-17",NA,2022.4
"Los AngelesCounty",865272,2023-03-31,48087,315413,363539,501733,FALSE,51091,"NA","0-17",NA,2023.1
"Los AngelesCounty",865272,2023-06-30,49166,315692,364897,500375,FALSE,56985,"NA","0-17",NA,2023.2
"Los AngelesCounty",865272,2023-08-26,50007,315708,365755,499517,FALSE,60334,"NA","0-17",NA,2023.3
"Los AngelesCounty",1644144,2022-03-31,108191,1347191,1455382,188762,FALSE,76,"NA","65+",NA,2022.1
"Los AngelesCounty",1644144,2022-06-30,104901,1362462,1467363,176781,FALSE,128,"NA","65+",NA,2022.2
"Los AngelesCounty",1644144,2022-09-30,108490,1367455,1475945,168199,FALSE,104159,"NA","65+",NA,2022.3
"Los AngelesCounty",1644144,2022-12-31,121281,1368234,1489515,154629,FALSE,470456,"NA","65+",NA,2022.4
"Los AngelesCounty",1644144,2023-03-31,124670,1368738,1493408,150736,FALSE,541217,"NA","65+",NA,2023.1
"Los AngelesCounty",1644144,2023-06-30,126805,1368798,1495603,148541,FALSE,637653,"NA","65+",NA,2023.2
"Los AngelesCounty",1644144,2023-08-26,127542,1368805,1496347,147797,FALSE,662669,"NA","65+",NA,2023.3
"Los AngelesCounty",1971374,2022-03-31,134394,1619648,1754042,217332,FALSE,97,"NA","50-64",NA,2022.1
"Los AngelesCounty",1971374,2022-06-30,134539,1633016,1767555,203819,FALSE,149,"NA","50-64",NA,2022.2
"Los AngelesCounty",1971374,2022-09-30,138052,1639313,1777365,194009,FALSE,85517,"NA","50-64",NA,2022.3
"Los AngelesCounty",1971374,2022-12-31,149336,1640674,1790010,181364,FALSE,418072,"NA","50-64",NA,2022.4
"Los AngelesCounty",1971374,2023-03-31,153007,1641545,1794552,176822,FALSE,488367,"NA","50-64",NA,2023.1
"Los AngelesCounty",1971374,2023-06-30,154776,1641691,1796467,174907,FALSE,512562,"NA","50-64",NA,2023.2
"Los AngelesCounty",1971374,2023-08-26,155536,1641698,1797234,174140,FALSE,522074,"NA","50-64",NA,2023.3
"Los AngelesCounty",4408443,2022-03-31,381551,3566219,3947895,460548,FALSE,286,"NA","18-49",NA,2022.1
"Los AngelesCounty",4408443,2022-06-30,389830,3595653,3985601,422842,FALSE,348,"NA","18-49",NA,2022.2
"Los AngelesCounty",4408443,2022-09-30,401750,3613537,4015401,393042,FALSE,135048,"NA","18-49",NA,2022.3
"Los AngelesCounty",4408443,2022-12-31,426218,3620230,4046561,361882,FALSE,577414,"NA","18-49",NA,2022.4
"Los AngelesCounty",4408443,2023-03-31,434738,3624529,4059380,349063,FALSE,674342,"NA","18-49",NA,2023.1
"Los AngelesCounty",4408443,2023-06-30,440649,3625278,4066040,342403,FALSE,711568,"NA","18-49",NA,2023.2
"Los AngelesCounty",4408443,2023-08-26,443747,3625329,4069189,339254,FALSE,729620,"NA","18-49",NA,2023.3
"MaderaCounty",10508,2022-03-31,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.1
"MaderaCounty",10508,2022-06-30,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.2
"MaderaCounty",10508,2022-09-30,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.3
"MaderaCounty",10508,2022-12-31,NA,NA,NA,NA,TRUE,1,"NA","0-17",NA,2022.4
"MaderaCounty",10508,2023-03-31,NA,NA,NA,NA,TRUE,20,"NA","0-17",NA,2023.1
"MaderaCounty",10508,2023-06-30,NA,NA,NA,NA,TRUE,40,"NA","0-17",NA,2023.2
"MaderaCounty",10508,2023-08-26,NA,NA,NA,NA,TRUE,46,"NA","0-17",NA,2023.3
"MaderaCounty",14398,2022-03-31,1002,7377,8380,6018,FALSE,2,"NA","0-17",NA,2022.1
"MaderaCounty",14398,2022-06-30,993,7584,8578,5820,FALSE,2,"NA","0-17",NA,2022.2
"MaderaCounty",14398,2022-09-30,1008,7703,8712,5686,FALSE,47,"NA","0-17",NA,2022.3
"MaderaCounty",14398,2022-12-31,1004,7734,8739,5659,FALSE,336,"NA","0-17",NA,2022.4
"MaderaCounty",14398,2023-03-31,1002,7753,8756,5642,FALSE,431,"NA","0-17",NA,2023.1
"MaderaCounty",14398,2023-06-30,1013,7754,8768,5630,FALSE,481,"NA","0-17",NA,2023.2
"MaderaCounty",14398,2023-08-26,1026,7754,8781,5617,FALSE,521,"NA","0-17",NA,2023.3
"MaderaCounty",15750,2022-03-31,676,3470,4146,11604,FALSE,0,"NA","0-17",NA,2022.1
"MaderaCounty",15750,2022-06-30,615,3760,4375,11375,FALSE,0,"NA","0-17",NA,2022.2
"MaderaCounty",15750,2022-09-30,667,3970,4637,11113,FALSE,1,"NA","0-17",NA,2022.3
"MaderaCounty",15750,2022-12-31,663,4054,4717,11033,FALSE,136,"NA","0-17",NA,2022.4
"MaderaCounty",15750,2023-03-31,670,4098,4768,10982,FALSE,222,"NA","0-17",NA,2023.1
"MaderaCounty",15750,2023-06-30,673,4102,4775,10975,FALSE,267,"NA","0-17",NA,2023.2
"MaderaCounty",15750,2023-08-26,681,4103,4784,10966,FALSE,301,"NA","0-17",NA,2023.3
"MaderaCounty",24667,2022-03-31,1393,19033,20426,4241,FALSE,0,"NA","65+",NA,2022.1
"MaderaCounty",24667,2022-06-30,1371,19197,20568,4099,FALSE,1,"NA","65+",NA,2022.2
"MaderaCounty",24667,2022-09-30,1435,19252,20687,3980,FALSE,977,"NA","65+",NA,2022.3
"MaderaCounty",24667,2022-12-31,1701,19266,20967,3700,FALSE,5200,"NA","65+",NA,2022.4
"MaderaCounty",24667,2023-03-31,1746,19268,21014,3653,FALSE,5896,"NA","65+",NA,2023.1
"MaderaCounty",24667,2023-06-30,1780,19268,21048,3619,FALSE,6526,"NA","65+",NA,2023.2
"MaderaCounty",24667,2023-08-26,1786,19268,21054,3613,FALSE,6793,"NA","65+",NA,2023.3
"MaderaCounty",24912,2022-03-31,1487,18390,19877,5035,FALSE,0,"NA","50-64",NA,2022.1
"MaderaCounty",24912,2022-06-30,1467,18520,19987,4925,FALSE,0,"NA","50-64",NA,2022.2
"MaderaCounty",24912,2022-09-30,1499,18583,20082,4830,FALSE,452,"NA","50-64",NA,2022.3
"MaderaCounty",24912,2022-12-31,1601,18597,20198,4714,FALSE,2906,"NA","50-64",NA,2022.4
"MaderaCounty",24912,2023-03-31,1623,18611,20234,4678,FALSE,3462,"NA","50-64",NA,2023.1
"MaderaCounty",24912,2023-06-30,1634,18612,20246,4666,FALSE,3635,"NA","50-64",NA,2023.2
"MaderaCounty",24912,2023-08-26,1640,18612,20252,4660,FALSE,3692,"NA","50-64",NA,2023.3
"MaderaCounty",70886,2022-03-31,4504,37461,41965,28921,FALSE,0,"NA","18-49",NA,2022.1
"MaderaCounty",70886,2022-06-30,4532,37949,42481,28405,FALSE,0,"NA","18-49",NA,2022.2
"MaderaCounty",70886,2022-09-30,4572,38275,42847,28039,FALSE,425,"NA","18-49",NA,2022.3
"MaderaCounty",70886,2022-12-31,4703,38393,43096,27790,FALSE,2444,"NA","18-49",NA,2022.4
"MaderaCounty",70886,2023-03-31,4754,38501,43255,27631,FALSE,3125,"NA","18-49",NA,2023.1
"MaderaCounty",70886,2023-06-30,4827,38515,43342,27544,FALSE,3424,"NA","18-49",NA,2023.2
"MaderaCounty",70886,2023-08-26,4860,38516,43376,27510,FALSE,3542,"NA","18-49",NA,2023.3
"MarinCounty",9097,2022-03-31,4,6,10,9087,FALSE,0,"NA","0-17",NA,2022.1
"MarinCounty",9097,2022-06-30,1068,7,1075,8022,FALSE,0,"NA","0-17",NA,2022.2
"MarinCounty",9097,2022-09-30,1462,2386,3848,5249,FALSE,0,"NA","0-17",NA,2022.3
"MarinCounty",9097,2022-12-31,1383,3173,4556,4541,FALSE,119,"NA","0-17",NA,2022.4
"MarinCounty",9097,2023-03-31,1383,3591,4974,4123,FALSE,881,"NA","0-17",NA,2023.1
"MarinCounty",9097,2023-06-30,1485,3717,5202,3895,FALSE,1328,"NA","0-17",NA,2023.2
"MarinCounty",9097,2023-08-26,1546,3756,5302,3795,FALSE,1450,"NA","0-17",NA,2023.3
"MarinCounty",17918,2022-03-31,1051,12699,13750,4168,FALSE,1,"NA","0-17",NA,2022.1
"MarinCounty",17918,2022-06-30,1182,13364,14546,3372,FALSE,1,"NA","0-17",NA,2022.2
"MarinCounty",17918,2022-09-30,1097,14025,15122,2796,FALSE,3,"NA","0-17",NA,2022.3
"MarinCounty",17918,2022-12-31,1164,14196,15360,2558,FALSE,3488,"NA","0-17",NA,2022.4
"MarinCounty",17918,2023-03-31,1151,14303,15454,2464,FALSE,4296,"NA","0-17",NA,2023.1
"MarinCounty",17918,2023-06-30,1209,14320,15529,2389,FALSE,4860,"NA","0-17",NA,2023.2
"MarinCounty",17918,2023-08-26,1251,14320,15571,2347,FALSE,5058,"NA","0-17",NA,2023.3
"MarinCounty",19971,2022-03-31,1056,18329,19391,580,FALSE,3,"NA","0-17",NA,2022.1
"MarinCounty",19971,2022-06-30,1056,18499,19561,410,FALSE,4,"NA","0-17",NA,2022.2
"MarinCounty",19971,2022-09-30,1046,18626,19678,293,FALSE,768,"NA","0-17",NA,2022.3
"MarinCounty",19971,2022-12-31,1122,18656,19784,187,FALSE,5086,"NA","0-17",NA,2022.4
"MarinCounty",19971,2023-03-31,1160,18688,19854,117,FALSE,5836,"NA","0-17",NA,2023.1
"MarinCounty",19971,2023-06-30,1198,18700,19904,67,FALSE,6365,"NA","0-17",NA,2023.2
"MarinCounty",19971,2023-08-26,1225,18700,19931,40,FALSE,6592,"NA","0-17",NA,2023.3
"MarinCounty",57543,2022-03-31,2712,52414,55126,2417,FALSE,1,"NA","50-64",NA,2022.1
"MarinCounty",57543,2022-06-30,2741,52807,55548,1995,FALSE,2,"NA","50-64",NA,2022.2
"MarinCounty",57543,2022-09-30,2842,52964,55806,1737,FALSE,4670,"NA","50-64",NA,2022.3
"MarinCounty",57543,2022-12-31,3268,52973,56241,1302,FALSE,23281,"NA","50-64",NA,2022.4
"MarinCounty",57543,2023-03-31,3334,52982,56316,1227,FALSE,25344,"NA","50-64",NA,2023.1
"MarinCounty",57543,2023-06-30,3357,52983,56340,1203,FALSE,26484,"NA","50-64",NA,2023.2
"MarinCounty",57543,2023-08-26,3372,52983,56355,1188,FALSE,26917,"NA","50-64",NA,2023.3
"MarinCounty",64165,2022-03-31,2766,59495,62261,1904,FALSE,0,"NA","65+",NA,2022.1
"MarinCounty",64165,2022-06-30,2831,60095,62926,1239,FALSE,0,"NA","65+",NA,2022.2
"MarinCounty",64165,2022-09-30,3052,60202,63254,911,FALSE,5262,"NA","65+",NA,2022.3
"MarinCounty",64165,2022-12-31,3718,60215,63933,232,FALSE,25869,"NA","65+",NA,2022.4
"MarinCounty",64165,2023-03-31,3808,60221,64029,136,FALSE,27703,"NA","65+",NA,2023.1
"MarinCounty",64165,2023-06-30,4033,60222,64255,0,FALSE,39927,"NA","65+",NA,2023.2
"MarinCounty",64165,2023-08-26,4066,60222,64288,0,FALSE,42555,"NA","65+",NA,2023.3
"MarinCounty",89471,2022-03-31,7144,83115,90261,0,FALSE,2,"NA","18-49",NA,2022.1
"MarinCounty",89471,2022-06-30,7317,83504,90823,0,FALSE,2,"NA","18-49",NA,2022.2
"MarinCounty",89471,2022-09-30,7599,83720,91321,0,FALSE,4561,"NA","18-49",NA,2022.3
"MarinCounty",89471,2022-12-31,8429,83793,92224,0,FALSE,22101,"NA","18-49",NA,2022.4
"MarinCounty",89471,2023-03-31,8641,83858,92501,0,FALSE,24819,"NA","18-49",NA,2023.1
"MarinCounty",89471,2023-06-30,8745,83860,92607,0,FALSE,25935,"NA","18-49",NA,2023.2
"MarinCounty",89471,2023-08-26,8800,83861,92663,0,FALSE,26472,"NA","18-49",NA,2023.3
"MariposaCounty",780,2022-03-31,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.1
"MariposaCounty",780,2022-06-30,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.2
"MariposaCounty",780,2022-09-30,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.3
"MariposaCounty",780,2022-12-31,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.4
"MariposaCounty",780,2023-03-31,NA,NA,NA,NA,TRUE,1,"NA","0-17",NA,2023.1
"MariposaCounty",780,2023-06-30,NA,NA,NA,NA,TRUE,3,"NA","0-17",NA,2023.2
"MariposaCounty",780,2023-08-26,NA,NA,NA,NA,TRUE,3,"NA","0-17",NA,2023.3
"MariposaCounty",940,2022-03-31,45,343,389,551,FALSE,0,"NA","0-17",NA,2022.1
"MariposaCounty",940,2022-06-30,41,349,391,549,FALSE,0,"NA","0-17",NA,2022.2
"MariposaCounty",940,2022-09-30,45,351,397,543,FALSE,7,"NA","0-17",NA,2022.3
"MariposaCounty",940,2022-12-31,45,352,398,542,FALSE,34,"NA","0-17",NA,2022.4
"MariposaCounty",940,2023-03-31,45,352,398,542,FALSE,40,"NA","0-17",NA,2023.1
"MariposaCounty",940,2023-06-30,48,352,401,539,FALSE,43,"NA","0-17",NA,2023.2
"MariposaCounty",940,2023-08-26,48,352,401,539,FALSE,44,"NA","0-17",NA,2023.3
"MariposaCounty",983,2022-03-31,100,137,237,746,FALSE,0,"NA","0-17",NA,2022.1
"MariposaCounty",983,2022-06-30,90,155,245,738,FALSE,0,"NA","0-17",NA,2022.2
"MariposaCounty",983,2022-09-30,90,163,253,730,FALSE,0,"NA","0-17",NA,2022.3
"MariposaCounty",983,2022-12-31,90,163,253,730,FALSE,16,"NA","0-17",NA,2022.4
"MariposaCounty",983,2023-03-31,89,164,253,730,FALSE,18,"NA","0-17",NA,2023.1
