"county","estimated_population","dt_admin","total_partial_vaccinated","cumulative_fully_vaccinated","cumulative_at_least_one_dose","cumulative_unvaccinated","suppress_data","cumulative_up_to_date_vax","race_eth","age_category","sex","quarter"
"AlpineCounty",35,2023-08-26,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2023.3
"AlpineCounty",47,2022-03-31,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.1
"AlpineCounty",47,2022-06-30,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.2
"AlpineCounty",47,2022-09-30,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.3
"AlpineCounty",47,2022-12-31,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.4
"AlpineCounty",47,2023-03-31,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2023.1
"AlpineCounty",47,2023-06-30,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2023.2
"AlpineCounty",47,2023-08-26,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2023.3
"AlpineCounty",84,2022-03-31,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.1
"AlpineCounty",84,2022-06-30,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.2
"AlpineCounty",84,2022-09-30,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.3
"AlpineCounty",84,2022-12-31,NA,NA,NA,NA,TRUE,1,"NA","0-17",NA,2022.4
"AlpineCounty",84,2023-03-31,NA,NA,NA,NA,TRUE,2,"NA","0-17",NA,2023.1
"AlpineCounty",84,2023-06-30,NA,NA,NA,NA,TRUE,2,"NA","0-17",NA,2023.2
"AlpineCounty",84,2023-08-26,NA,NA,NA,NA,TRUE,2,"NA","0-17",NA,2023.3
"AlpineCounty",287,2022-03-31,17,154,171,116,FALSE,0,"NA","50-64",NA,2022.1
"AlpineCounty",287,2022-06-30,15,158,173,114,FALSE,0,"NA","50-64",NA,2022.2
"AlpineCounty",287,2022-09-30,15,158,173,114,FALSE,4,"NA","50-64",NA,2022.3
"AlpineCounty",287,2022-12-31,17,158,175,112,FALSE,36,"NA","50-64",NA,2022.4
"AlpineCounty",287,2023-03-31,17,158,175,112,FALSE,37,"NA","50-64",NA,2023.1
"AlpineCounty",287,2023-06-30,17,158,175,112,FALSE,38,"NA","50-64",NA,2023.2
"AlpineCounty",287,2023-08-26,17,158,175,112,FALSE,38,"NA","50-64",NA,2023.3
"AlpineCounty",327,2022-03-31,14,203,217,110,FALSE,0,"NA","65+",NA,2022.1
"AlpineCounty",327,2022-06-30,13,204,217,110,FALSE,0,"NA","65+",NA,2022.2
"AlpineCounty",327,2022-09-30,14,207,221,106,FALSE,7,"NA","65+",NA,2022.3
"AlpineCounty",327,2022-12-31,18,207,225,102,FALSE,90,"NA","65+",NA,2022.4
"AlpineCounty",327,2023-03-31,19,207,226,101,FALSE,96,"NA","65+",NA,2023.1
"AlpineCounty",327,2023-06-30,19,207,226,101,FALSE,104,"NA","65+",NA,2023.2
"AlpineCounty",327,2023-08-26,19,207,226,101,FALSE,104,"NA","65+",NA,2023.3
"AlpineCounty",353,2022-03-31,31,209,240,113,FALSE,0,"NA","18-49",NA,2022.1
"AlpineCounty",353,2022-06-30,30,212,242,111,FALSE,0,"NA","18-49",NA,2022.2
"AlpineCounty",353,2022-09-30,30,212,242,111,FALSE,11,"NA","18-49",NA,2022.3
"AlpineCounty",353,2022-12-31,30,212,242,111,FALSE,33,"NA","18-49",NA,2022.4
"AlpineCounty",353,2023-03-31,30,212,242,111,FALSE,33,"NA","18-49",NA,2023.1
"AlpineCounty",353,2023-06-30,30,212,242,111,FALSE,34,"NA","18-49",NA,2023.2
"AlpineCounty",353,2023-08-26,30,212,242,111,FALSE,34,"NA","18-49",NA,2023.3
"AmadorCounty",1565,2022-03-31,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.1
"AmadorCounty",1565,2022-06-30,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.2
"AmadorCounty",1565,2022-09-30,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.3
"AmadorCounty",1565,2022-12-31,NA,NA,NA,NA,TRUE,0,"NA","0-17",NA,2022.4
"AmadorCounty",1565,2023-03-31,NA,NA,NA,NA,TRUE,1,"NA","0-17",NA,2023.1
"AmadorCounty",1565,2023-06-30,NA,NA,NA,NA,TRUE,4,"NA","0-17",NA,2023.2
"AmadorCounty",1565,2023-08-26,NA,NA,NA,NA,TRUE,4,"NA","0-17",NA,2023.3
"AmadorCounty",2018,2022-03-31,82,282,364,1654,FALSE,0,"NA","0-17",NA,2022.1
"AmadorCounty",2018,2022-06-30,84,298,382,1636,FALSE,0,"NA","0-17",NA,2022.2
"AmadorCounty",2018,2022-09-30,88,306,394,1624,FALSE,0,"NA","0-17",NA,2022.3
"AmadorCounty",2018,2022-12-31,87,309,396,1622,FALSE,24,"NA","0-17",NA,2022.4
"AmadorCounty",2018,2023-03-31,86,311,397,1621,FALSE,29,"NA","0-17",NA,2023.1
"AmadorCounty",2018,2023-06-30,88,311,399,1619,FALSE,31,"NA","0-17",NA,2023.2
"AmadorCounty",2018,2023-08-26,88,311,399,1619,FALSE,31,"NA","0-17",NA,2023.3
"AmadorCounty",2028,2022-03-31,85,819,904,1124,FALSE,0,"NA","0-17",NA,2022.1
"AmadorCounty",2028,2022-06-30,77,842,919,1109,FALSE,0,"NA","0-17",NA,2022.2
"AmadorCounty",2028,2022-09-30,74,848,922,1106,FALSE,10,"NA","0-17",NA,2022.3
"AmadorCounty",2028,2022-12-31,77,850,927,1101,FALSE,65,"NA","0-17",NA,2022.4
"AmadorCounty",2028,2023-03-31,76,851,927,1101,FALSE,74,"NA","0-17",NA,2023.1
"AmadorCounty",2028,2023-06-30,79,851,930,1098,FALSE,80,"NA","0-17",NA,2023.2
"AmadorCounty",2028,2023-08-26,80,851,931,1097,FALSE,82,"NA","0-17",NA,2023.3
"AmadorCounty",7920,2022-03-31,386,5505,5891,2029,FALSE,1,"NA","50-64",NA,2022.1
"AmadorCounty",7920,2022-06-30,372,5545,5917,2003,FALSE,1,"NA","50-64",NA,2022.2
"AmadorCounty",7920,2022-09-30,386,5558,5944,1976,FALSE,238,"NA","50-64",NA,2022.3
"AmadorCounty",7920,2022-12-31,410,5562,5972,1948,FALSE,1259,"NA","50-64",NA,2022.4
"AmadorCounty",7920,2023-03-31,413,5564,5977,1943,FALSE,1370,"NA","50-64",NA,2023.1
"AmadorCounty",7920,2023-06-30,416,5564,5980,1940,FALSE,1417,"NA","50-64",NA,2023.2
"AmadorCounty",7920,2023-08-26,417,5564,5981,1939,FALSE,1447,"NA","50-64",NA,2023.3
"AmadorCounty",11135,2022-03-31,565,9274,9839,1296,FALSE,1,"NA","65+",NA,2022.1
"AmadorCounty",11135,2022-06-30,532,9354,9886,1249,FALSE,2,"NA","65+",NA,2022.2
"AmadorCounty",11135,2022-09-30,570,9373,9943,1192,FALSE,723,"NA","65+",NA,2022.3
"AmadorCounty",11135,2022-12-31,664,9380,10044,1091,FALSE,3491,"NA","65+",NA,2022.4
"AmadorCounty",11135,2023-03-31,681,9380,10061,1074,FALSE,3774,"NA","65+",NA,2023.1
"AmadorCounty",11135,2023-06-30,686,9380,10066,1069,FALSE,4240,"NA","65+",NA,2023.2
"AmadorCounty",11135,2023-08-26,691,9380,10071,1064,FALSE,4455,"NA","65+",NA,2023.3
"AmadorCounty",13320,2022-03-31,543,5878,6421,6899,FALSE,1,"NA","18-49",NA,2022.1
"AmadorCounty",13320,2022-06-30,551,5937,6488,6832,FALSE,1,"NA","18-49",NA,2022.2
"AmadorCounty",13320,2022-09-30,541,5987,6528,6792,FALSE,117,"NA","18-49",NA,2022.3
"AmadorCounty",13320,2022-12-31,573,5994,6567,6753,FALSE,607,"NA","18-49",NA,2022.4
"AmadorCounty",13320,2023-03-31,575,6006,6581,6739,FALSE,703,"NA","18-49",NA,2023.1
"AmadorCounty",13320,2023-06-30,589,6007,6596,6724,FALSE,762,"NA","18-49",NA,2023.2
"AmadorCounty",13320,2023-08-26,591,6007,6598,6722,FALSE,779,"NA","18-49",NA,2023.3
"ButteCounty",12002,2022-03-31,1,0,1,12001,FALSE,0,"NA","0-17",NA,2022.1
"ButteCounty",12002,2022-06-30,106,0,106,11896,FALSE,0,"NA","0-17",NA,2022.2
"ButteCounty",12002,2022-09-30,286,120,406,11596,FALSE,0,"NA","0-17",NA,2022.3
